country_code,country_name,country_color
"AL","Albania","#73C6B6"
"AT","Austra","#CB4335"
"BA","Bosnia and Herzegovina","#D5DBDB"
"BE","Belgium","#D4EFDF"
"BG","Bulgaria","#2E86C1"
"CY","Cyprus","#FCF3CF"
"CZ","Czechia","#F1948A"
"DE","Germany","#C4C4C4"
"DK","Denmark","#FFF5EE"
"EE","Estonia","#EDC951"
"EL","Greece","#CC333F"
"ES","Spain","#00A0B0"
"FI","Finland","#9ACD32"
"FR","France","#FA8072"
"GE","Georgia","#2E8B57"
"HR","Croatia","#FA8072"
"HU","Hungary","#2E8B57"
"IE","Ireland","#FADBD8"
"IS","Iceland","#9ACD32"
"IT","Italy","#F5DEB3"
"LI","Liechtenstein","#A5DFDD"
"LT","Lithuania","#C4C4C5"
"LU","Luxembourg","#FFF5EE"
"LV","Latvia","#EDC951"
"MD","Moldova","#CC333F"
"ME","Montenegro","#00A0B0"
"MK","North Macedonia","#9ACD32"
"MT","Malta","#FA8072"
"NL","Netherlands","#2E8B57"
"NO","Norway","#A5DFDD"
"PL","Poland","#FAE5D3"
"PT","Portugal","#45B39D"
"RO","Romania","#E8DAEF"
"RS","Serbia","#F0B27A"
"SE","Sweden","#C39797"
"SI","Slovenia","#E0BDA3"
"SK","Slovakia","#DAF7A6"
"TR","Türkiye","#FFF5EE"
"UA","Ukraine","#ADB181"
"UK","United Kingdom","#4682B4"
"XK","Kosovo","#F5DEB3"
