geo,AL,AT,BA,BE,BG,CZ,DE,DK,EE,EL,FI,FR,HR,HU,IE,IT,LU,LV,MK,NL,NO,PL,RO,RS,SE,SI,SK,TR,UA,UK
AT,0.0,0.0,0.0,0.0,0.0,1.0,4118.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,0.0,1659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3083.0,0.0,0.0,0.0,0.0
BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.0,0.0,0.0,0.0,0.0,1605.0,0.0,0.0,5776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,688.0,1629.0,0.0,0.0,0.0,1135.0,0.0,0.0
CZ,0.0,7627.0,0.0,0.0,0.0,0.0,12740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5279.0,0.0,0.0,0.0
DE,0.0,9917.0,0.0,0.0,0.0,53.0,0.0,5516.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,2901.0,0.0,0.0,15031.0,0.0,2761.0,0.0,0.0,2245.0,0.0,0.0,0.0,0.0,0.0
DK,0.0,0.0,0.0,0.0,0.0,0.0,3697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4526.0,0.0,0.0,0.0,7345.0,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL,781.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1139.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,6865.0,0.0,0.0,0.0,0.0,0.0
FR,0.0,0.0,0.0,9527.0,0.0,0.0,20567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6238.0
