geo,AL,AT,BA,BE,BG,CZ,DE,DK,EE,EL,FI,FR,HR,HU,IE,IT,LI,LT,LU,LV,MD,ME,MK,NL,NO,PL,RO,RS,SE,SI,SK,TR,UA,UK
AT,0.0,0.0,0.0,0.0,0.0,83.995,5251.455,0.0,0.0,0.0,0.0,0.0,0.0,1377.484,0.0,1507.216,305.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2178.972,0.0,0.0,0.0,0.0
BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2435.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,0.0,0.0,0.0,0.0,4382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2140.0,0.0,0.0,0.0,201.0,856.0,0.0,0.0,0.0,4590.0,0.0,0.0
CZ,0.0,10424.0,0.0,0.0,0.0,0.0,7918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0
DE,0.0,15529.0,0.0,0.0,0.0,2448.0,0.0,0.0,0.0,0.0,0.0,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,4137.0,0.0,0.0,0.0,0.0,24491.0,0.0,5452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK,0.0,0.0,0.0,0.0,0.0,0.0,3347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2840.0,0.0,0.0,0.0,4190.0,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL,125.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.0,0.0,0.0
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0
FR,0.0,0.0,0.0,8801.0,0.0,0.0,11768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12680.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11712.0
HR,0.0,0.0,1751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,5210.0,0.0,0.0,0.0,0.0
HU,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,278.0,0.0,0.0,8.0,0.0,21.0,0.0
IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.971
IT,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0
LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
