geo,AL,AT,BA,BE,BG,CZ,DE,DK,EE,EL,FI,FR,GE,HR,HU,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,RO,RS,SE,SI,SK,TR,UA,UK,XK
AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0
AT,0.0,0.0,0.0,0.0,0.0,197.0,6081.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3255.056,1257.956,302.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3985.14,0.0,0.0,0.0,0.0,0.0
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4414.0,0.0,0.0,0.0,0.0,0.0,0.0,2786.0,0.0,0.0,0.0,0.0,0.0,0.0,814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,0.0,0.0,0.0,0.0,0.0,0.0,1811.7,0.0,0.0,0.0,0.0,7733.7,0.0,0.0,0.0,0.0,0.0,0.0,1150.5,0.0,0.0,0.0,0.0,5217.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7156.4,0.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1971.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2561.43,0.0,0.0,0.0,0.0,2330.319,2708.455,0.0,0.0,0.0,1063.842,0.0,0.0,0.0
CZ,0.0,10917.184,0.0,0.0,0.0,0.0,6083.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.577,0.0,0.0,0.0,0.0,8884.41,0.0,0.0,0.0,0.0
DE,0.0,13347.0,0.0,0.0,0.0,6221.0,0.0,0.0,0.0,0.0,0.0,4196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9085.0,0.0,8734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK,0.0,0.0,0.0,0.0,0.0,0.0,8333.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3091.521,1720.467,0.0,0.0,0.0,2105.154,0.0,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4415.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL,1054.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1857.0,0.0,0.0,0.0,0.0,0.0,902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
