geo,AL,AT,BA,BE,BG,CZ,DE,DK,EE,EL,FI,FR,GE,HR,HU,IE,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,RO,RS,SE,SI,SK,TR,UA,UK,XK
AT,0.0,0.0,0.0,0.0,0.0,10864.0,14998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.032,0.0,0.0,0.0,0.0,0.0
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,1103.0,0.0,0.0,0.0,0.0,0.0,0.0,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10755.0,0.0,0.0,0.0,0.0,0.0,0.0,97.9,0.0,0.0,0.0,0.0,10781.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395,0.0,0.0,0.0,0.0,2083.11,38.521,0.0,0.0,0.0,93.111,0.0,0.0,0.0
CZ,0.0,112.561,0.0,0.0,0.0,0.0,7580.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3771.248,0.0,0.0,0.0,0.0,108.851,0.0,0.0,0.0,0.0
DE,0.0,4793.0,0.0,0.0,0.0,4903.0,0.0,0.0,0.0,0.0,0.0,10983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK,0.0,0.0,0.0,0.0,0.0,0.0,5848.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5034.756,0.0,0.0,0.0,4750.092,0.0,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL,1062.0,0.0,0.0,0.0,2118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,0.0,0.0,0.0,0.0,1852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2907.0,0.0,0.0,0.0
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,13658.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,0.0,0.0,0.0,2181.029,0.0,0.0,2530.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.729,0.0
HR,0.0,0.0,5963.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1799.0,0.0,2180.5,0.0,0.0,0.0,0.0,0.0
HU,0.0,3753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.0,1226.0,0.0,0.0,6813.0,0.0,5054.0,0.0,0.0
IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.519,0.0
IT,0.0,1417.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1077.679,0.0,15385.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.758,0.0,0.0,0.0,0.0,0.0,0.0,6738.695,0.0,0.0,0.0,0.0,0.0
