geo,AL,AT,BA,BE,BG,CZ,DE,DK,EE,EL,FI,FR,GE,HR,HU,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,RO,RS,SE,SI,SK,TR,UA,UK,XK
AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0
AT,0.0,0.0,0.0,0.0,0.0,10917.302,13027.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.581,12.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.302,0.0,0.0,0.0,0.0,0.0
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1781.0,0.0,0.0,0.0,0.0,0.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0,879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,0.0,0.0,0.0,0.0,0.0,0.0,2560.8,0.0,0.0,0.0,0.0,5119.8,0.0,0.0,0.0,0.0,0.0,57.7,0.0,0.0,0.0,0.0,7319.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.2,0.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.203,0.0,0.0,0.0,0.0,1485.927,39.391,0.0,0.0,0.0,259.118,0.0,0.0,0.0
CZ,0.0,197.0,0.0,0.0,0.0,0.0,6221.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8420.788,0.0,0.0,0.0,0.0,314.045,0.0,0.0,0.0,0.0
DE,0.0,6507.0,0.0,0.0,0.0,6083.0,0.0,0.0,0.0,0.0,0.0,9758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7641.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK,0.0,0.0,0.0,0.0,0.0,0.0,4360.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.702,7924.446,0.0,0.0,0.0,6979.529,0.0,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6925.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL,702.0,0.0,0.0,0.0,1971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,0.0,0.0,0.0,0.0,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2906.0,0.0,0.0,0.0
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,0.0,15013.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,0.0,0.0,0.0,7697.095,0.0,0.0,4189.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1182.526,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1431.683,0.0
HR,0.0,0.0,4414.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3316.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1274.7,0.0,2499.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,3255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.0,1096.0,0.0,0.0,10723.0,0.0,3591.0,0.0,0.0
