partner,unit,geo,TIME_PERIOD,OBS_VALUE
TOTAL,GWH,AL,1990,117.0
TOTAL,GWH,AL,1991,1173.0
TOTAL,GWH,AL,1992,510.0
TOTAL,GWH,AL,1993,143.0
TOTAL,GWH,AL,1994,185.0
TOTAL,GWH,AL,1995,74.0
TOTAL,GWH,AL,1996,380.0
TOTAL,GWH,AL,1997,839.0
TOTAL,GWH,AL,1998,690.0
TOTAL,GWH,AL,1999,755.0
TOTAL,GWH,AL,2000,222.0
TOTAL,GWH,AL,2001,69.0
TOTAL,GWH,AL,2002,58.0
TOTAL,GWH,AL,2003,326.0
TOTAL,GWH,AL,2009,487.0
TOTAL,GWH,AL,2010,2935.0
TOTAL,GWH,AL,2014,183.0
TOTAL,GWH,AL,2015,956.0
TOTAL,GWH,AL,2016,42.0
TOTAL,GWH,AL,2018,1763.786
TOTAL,GWH,AL,2019,770.48
TOTAL,GWH,AL,2020,963.027
TOTAL,GWH,AL,2021,2800.0
TOTAL,GWH,AT,1990,7298.0
TOTAL,GWH,AT,1991,7738.0
TOTAL,GWH,AT,1992,8621.0
TOTAL,GWH,AT,1993,8804.0
TOTAL,GWH,AT,1994,9043.0
TOTAL,GWH,AT,1995,9757.0
TOTAL,GWH,AT,1996,8476.0
TOTAL,GWH,AT,1997,9775.0
TOTAL,GWH,AT,1998,10467.0
TOTAL,GWH,AT,1999,13507.0
TOTAL,GWH,AT,2000,15192.0
TOTAL,GWH,AT,2001,14252.0
TOTAL,GWH,AT,2002,14676.0
TOTAL,GWH,AT,2003,13389.0
TOTAL,GWH,AT,2004,13548.0
TOTAL,GWH,AT,2005,17732.014
TOTAL,GWH,AT,2006,14580.403
TOTAL,GWH,AT,2007,15766.691
TOTAL,GWH,AT,2008,14933.578
TOTAL,GWH,AT,2009,18761.88
TOTAL,GWH,AT,2010,17472.074
TOTAL,GWH,AT,2011,16777.353
TOTAL,GWH,AT,2012,20626.749
TOTAL,GWH,AT,2013,17689.116
TOTAL,GWH,AT,2014,17436.999
TOTAL,GWH,AT,2015,19327.646
TOTAL,GWH,AT,2016,19206.889
TOTAL,GWH,AT,2017,22816.512
TOTAL,GWH,AT,2018,19129.331
TOTAL,GWH,AT,2019,22918.264
TOTAL,GWH,AT,2020,22326.68
TOTAL,GWH,AT,2021,18893.037
TOTAL,GWH,BA,2014,5998.0
TOTAL,GWH,BA,2015,6007.0
TOTAL,GWH,BA,2016,6841.0
TOTAL,GWH,BA,2017,5187.0
TOTAL,GWH,BA,2018,7698.0
TOTAL,GWH,BA,2019,6565.0
TOTAL,GWH,BA,2020,7317.0
TOTAL,GWH,BA,2021,8014.0
TOTAL,GWH,BE,1990,8509.0
TOTAL,GWH,BE,1991,6845.0
TOTAL,GWH,BE,1992,5721.0
TOTAL,GWH,BE,1993,5359.0
TOTAL,GWH,BE,1994,5070.0
TOTAL,GWH,BE,1995,5326.0
TOTAL,GWH,BE,1996,5446.0
TOTAL,GWH,BE,1997,6705.0
TOTAL,GWH,BE,1998,6435.0
TOTAL,GWH,BE,1999,8207.0
