partner,unit,geo,TIME_PERIOD,OBS_VALUE
TOTAL,GWH,AL,1990,323.0
TOTAL,GWH,AL,1996,150.0
TOTAL,GWH,AL,1997,711.0
TOTAL,GWH,AL,1998,1069.0
TOTAL,GWH,AL,1999,1113.0
TOTAL,GWH,AL,2000,1224.0
TOTAL,GWH,AL,2001,1820.0
TOTAL,GWH,AL,2002,2163.0
TOTAL,GWH,AL,2003,1242.0
TOTAL,GWH,AL,2004,477.0
TOTAL,GWH,AL,2005,371.0
TOTAL,GWH,AL,2006,611.0
TOTAL,GWH,AL,2007,2828.0
TOTAL,GWH,AL,2008,2434.0
TOTAL,GWH,AL,2009,1886.0
TOTAL,GWH,AL,2010,1986.0
TOTAL,GWH,AL,2011,3262.0
TOTAL,GWH,AL,2012,2538.0
TOTAL,GWH,AL,2013,2323.0
TOTAL,GWH,AL,2014,3250.0
TOTAL,GWH,AL,2015,2355.0
TOTAL,GWH,AL,2017,2914.628
TOTAL,GWH,AL,2018,850.48
TOTAL,GWH,AL,2019,3176.515
TOTAL,GWH,AL,2020,3238.631
TOTAL,GWH,AL,2021,2252.0
TOTAL,GWH,AT,1990,6839.0
TOTAL,GWH,AT,1991,8503.0
TOTAL,GWH,AT,1992,9175.0
TOTAL,GWH,AT,1993,8072.0
TOTAL,GWH,AT,1994,8219.0
TOTAL,GWH,AT,1995,7287.0
TOTAL,GWH,AT,1996,9428.0
TOTAL,GWH,AT,1997,9008.0
TOTAL,GWH,AT,1998,10304.0
TOTAL,GWH,AT,1999,11608.0
TOTAL,GWH,AT,2000,13824.0
TOTAL,GWH,AT,2001,14467.0
TOTAL,GWH,AT,2002,15375.0
TOTAL,GWH,AT,2003,19003.0
TOTAL,GWH,AT,2004,16629.0
TOTAL,GWH,AT,2005,20355.431
TOTAL,GWH,AT,2006,20924.826
TOTAL,GWH,AT,2007,21783.088
TOTAL,GWH,AT,2008,19795.314
TOTAL,GWH,AT,2009,19542.064
TOTAL,GWH,AT,2010,19908.697
TOTAL,GWH,AT,2011,24976.711
TOTAL,GWH,AT,2012,23429.715
TOTAL,GWH,AT,2013,24959.57
TOTAL,GWH,AT,2014,26711.723
TOTAL,GWH,AT,2015,29389.163
TOTAL,GWH,AT,2016,26366.16
TOTAL,GWH,AT,2017,29362.427
TOTAL,GWH,AT,2018,28076.136
TOTAL,GWH,AT,2019,26046.847
TOTAL,GWH,AT,2020,24522.492
TOTAL,GWH,AT,2021,26436.192
TOTAL,GWH,BA,2014,3162.0
TOTAL,GWH,BA,2015,3872.0
TOTAL,GWH,BA,2016,3084.0
TOTAL,GWH,BA,2017,3346.0
TOTAL,GWH,BA,2018,3092.0
TOTAL,GWH,BA,2019,2825.0
TOTAL,GWH,BA,2020,3266.0
TOTAL,GWH,BA,2021,3259.0
TOTAL,GWH,BE,1990,4785.0
TOTAL,GWH,BE,1991,4998.0
TOTAL,GWH,BE,1992,5849.0
TOTAL,GWH,BE,1993,7590.0
TOTAL,GWH,BE,1994,9053.0
TOTAL,GWH,BE,1995,9398.0
TOTAL,GWH,BE,1996,9637.0
TOTAL,GWH,BE,1997,9975.0
TOTAL,GWH,BE,1998,7828.0
TOTAL,GWH,BE,1999,9059.0
TOTAL,GWH,BE,2000,11645.0
TOTAL,GWH,BE,2001,15818.0
TOTAL,GWH,BE,2002,16658.0
TOTAL,GWH,BE,2003,14664.0
TOTAL,GWH,BE,2004,14567.0
TOTAL,GWH,BE,2005,14328.0
TOTAL,GWH,BE,2006,18853.0
TOTAL,GWH,BE,2007,15816.0
TOTAL,GWH,BE,2008,17158.0
TOTAL,GWH,BE,2009,9486.0
TOTAL,GWH,BE,2010,12395.0
TOTAL,GWH,BE,2011,13189.0
TOTAL,GWH,BE,2012,16848.0
TOTAL,GWH,BE,2013,17243.0
TOTAL,GWH,BE,2014,21791.0
TOTAL,GWH,BE,2015,23714.0
TOTAL,GWH,BE,2016,14648.0
TOTAL,GWH,BE,2017,14189.4
TOTAL,GWH,BE,2018,21635.9
TOTAL,GWH,BE,2019,12734.4
TOTAL,GWH,BE,2020,13721.9
TOTAL,GWH,BE,2021,15193.6
TOTAL,GWH,BG,1990,5387.0
TOTAL,GWH,BG,1991,3083.0
TOTAL,GWH,BG,1992,3289.0
TOTAL,GWH,BG,1993,1630.0
TOTAL,GWH,BG,1994,1173.0
TOTAL,GWH,BG,1995,1961.0
TOTAL,GWH,BG,1996,1803.0
TOTAL,GWH,BG,1997,785.0
TOTAL,GWH,BG,1998,564.0
TOTAL,GWH,BG,1999,1670.0
TOTAL,GWH,BG,2000,964.0
TOTAL,GWH,BG,2001,1092.0
TOTAL,GWH,BG,2002,2040.0
TOTAL,GWH,BG,2003,1283.0
TOTAL,GWH,BG,2004,741.0
TOTAL,GWH,BG,2005,799.0
TOTAL,GWH,BG,2006,1139.0
TOTAL,GWH,BG,2007,3058.0
TOTAL,GWH,BG,2008,3097.0
TOTAL,GWH,BG,2009,2662.0
TOTAL,GWH,BG,2010,1167.0
TOTAL,GWH,BG,2011,1449.0
TOTAL,GWH,BG,2012,2353.0
TOTAL,GWH,BG,2013,3351.0
TOTAL,GWH,BG,2014,4319.0
TOTAL,GWH,BG,2015,4251.0
TOTAL,GWH,BG,2016,4568.0
TOTAL,GWH,BG,2017,3705.423
TOTAL,GWH,BG,2018,2222.726
TOTAL,GWH,BG,2019,3044.947
TOTAL,GWH,BG,2020,3706.736
TOTAL,GWH,BG,2021,1856.976
TOTAL,GWH,CZ,1990,8179.0
TOTAL,GWH,CZ,1991,7194.0
TOTAL,GWH,CZ,1992,6156.0
TOTAL,GWH,CZ,1993,5952.0
TOTAL,GWH,CZ,1994,5415.0
TOTAL,GWH,CZ,1995,6722.0
TOTAL,GWH,CZ,1996,8811.0
TOTAL,GWH,CZ,1997,9013.0
TOTAL,GWH,CZ,1998,8383.0
TOTAL,GWH,CZ,1999,8983.0
TOTAL,GWH,CZ,2000,8725.0
TOTAL,GWH,CZ,2001,9380.0
TOTAL,GWH,CZ,2002,9502.0
TOTAL,GWH,CZ,2003,10086.0
TOTAL,GWH,CZ,2004,9776.0
TOTAL,GWH,CZ,2005,12351.0
TOTAL,GWH,CZ,2006,11466.0
TOTAL,GWH,CZ,2007,10204.0
